epoch,time,loss,train_acc,val_acc,train_f1m,val_f1m,val_f1w
85,49.93,1323.5363,0.8250,0.8035,0.8092,0.7653,0.8071
86,49.70,1322.8069,0.8360,0.8035,0.8184,0.7603,0.8053
87,49.76,1326.4037,0.8232,0.7895,0.8081,0.7503,0.7940
88,49.72,1322.0858,0.8147,0.7849,0.8010,0.7485,0.7908
89,49.58,1321.5087,0.8206,0.7884,0.8065,0.7518,0.7939
90,49.89,1320.7692,0.8236,0.7872,0.8091,0.7481,0.7919
91,49.81,1320.4243,0.8291,0.8128,0.8138,0.7743,0.8155
92,49.58,1320.4312,0.8389,0.8070,0.8226,0.7671,0.8097
93,49.91,1318.8008,0.8181,0.7942,0.8044,0.7574,0.7991
94,49.74,1319.2698,0.8323,0.7860,0.8172,0.7436,0.7897
95,49.81,1318.1440,0.8304,0.7977,0.8156,0.7586,0.8015
96,49.76,1318.2400,0.8353,0.7988,0.8201,0.7586,0.8022
97,49.77,1318.3501,0.8295,0.7895,0.8153,0.7508,0.7942
98,49.84,1317.6477,0.8331,0.7779,0.8180,0.7359,0.7824
99,49.88,1316.3916,0.8308,0.7837,0.8164,0.7437,0.7884
100,49.71,1317.7987,0.8371,0.7919,0.8216,0.7485,0.7947
101,49.60,1317.6490,0.8221,0.7814,0.8085,0.7442,0.7873
102,49.89,1315.3477,0.8443,0.8000,0.8272,0.7552,0.8015
103,49.75,1315.6293,0.8376,0.7895,0.8226,0.7480,0.7932
104,49.74,1315.3323,0.8248,0.7860,0.8114,0.7507,0.7922
105,49.61,1314.5371,0.8522,0.7977,0.8342,0.7479,0.7974
106,49.68,1313.1614,0.8321,0.7884,0.8175,0.7486,0.7928
107,49.79,1313.8870,0.8224,0.7733,0.8091,0.7349,0.7795
108,49.80,1311.4664,0.8309,0.7884,0.8172,0.7497,0.7932
109,49.98,1312.0822,0.8312,0.7942,0.8174,0.7563,0.7988
110,49.88,1312.0356,0.8372,0.7837,0.8234,0.7437,0.7884
111,49.79,1312.3890,0.8382,0.7895,0.8242,0.7463,0.7926
112,49.45,1311.1625,0.8279,0.7744,0.8151,0.7371,0.7809
113,49.88,1310.4938,0.8295,0.7849,0.8162,0.7469,0.7902
114,49.85,1311.7577,0.8367,0.7953,0.8227,0.7569,0.7996
115,49.58,1311.9878,0.8183,0.7767,0.8066,0.7434,0.7843
116,49.90,1311.8308,0.8342,0.7802,0.8206,0.7415,0.7857
117,51.02,1309.8104,0.8374,0.7919,0.8239,0.7567,0.7976
118,51.45,1310.6633,0.8162,0.7756,0.8039,0.7408,0.7828
119,51.59,1313.0437,0.8313,0.7802,0.8183,0.7426,0.7861
120,51.11,1309.6964,0.8343,0.7814,0.8207,0.7420,0.7866
121,50.43,1308.7965,0.8343,0.7779,0.8216,0.7404,0.7840
122,50.56,1306.9504,0.8338,0.7686,0.8207,0.7284,0.7746
123,50.29,1309.8950,0.8381,0.7686,0.8248,0.7284,0.7746
124,50.47,1310.4396,0.8397,0.7826,0.8266,0.7447,0.7882
125,50.25,1309.5504,0.8364,0.7802,0.8229,0.7420,0.7859
126,50.48,1309.5157,0.8300,0.7756,0.8173,0.7387,0.7821
127,50.39,1306.7008,0.8171,0.7721,0.8046,0.7376,0.7796
128,50.53,1305.3093,0.8428,0.7837,0.8293,0.7437,0.7884
129,50.51,1305.5088,0.8415,0.7767,0.8278,0.7376,0.7824
130,50.68,1305.9939,0.8370,0.7721,0.8240,0.7344,0.7786
131,51.01,1305.2175,0.8483,0.7872,0.8342,0.7458,0.7911
132,51.58,1304.1796,0.8465,0.7849,0.8324,0.7448,0.7895
133,52.30,1304.3024,0.8489,0.7709,0.8352,0.7300,0.7764
134,51.52,1304.3545,0.8400,0.7779,0.8270,0.7414,0.7843
135,53.25,1302.4583,0.8427,0.7884,0.8291,0.7492,0.7930
136,52.22,1303.6057,0.8425,0.7791,0.8287,0.7398,0.7845
